cdf,normal_avg_len_blocks,delay_avg_len_blocks,redisc_avg_len_blocks
0.01,16.000000,16.000000,16.000000
0.02,16.000000,16.000000,16.000000
0.03,16.333333,16.000000,16.586667
0.04,16.666667,16.000000,16.666667
0.05,16.666667,17.000000,17.000000
0.06,16.666667,17.000000,17.333333
0.07,17.333333,17.000000,17.333333
0.08,17.333333,17.000000,18.000000
0.09,17.496667,17.333333,18.000000
0.10,17.666667,17.733333,18.333333
0.11,18.106667,18.000000,18.666667
0.12,18.333333,18.000000,18.773333
0.13,18.666667,18.143333,19.000000
0.14,18.666667,18.666667,19.293333
0.15,19.333333,19.000000,20.000000
0.16,19.666667,19.440000,20.000000
0.17,19.766667,19.666667,20.666667
0.18,20.000000,19.880000,21.000000
0.19,20.666667,20.333333,21.160000
0.20,21.133333,20.666667,21.666667
0.21,21.603333,21.000000,22.456667
0.22,22.000000,21.333333,22.666667
0.23,22.333333,21.680000,22.720000
0.24,22.333333,22.160000,23.426667
0.25,22.666667,22.666667,23.666667
0.26,23.333333,23.286667,24.333333
0.27,23.666667,23.666667,24.666667
0.28,23.693333,24.333333,25.053333
0.29,24.700000,24.730000,25.333333
0.30,25.000000,25.533333,26.033333
0.31,25.333333,26.096667,26.506667
0.32,26.000000,26.666667,27.346667
0.33,26.333333,27.096667,28.253333
0.34,27.000000,27.893333,28.993333
0.35,27.000000,28.000000,29.400000
0.36,28.000000,28.986667,30.000000
0.37,28.523333,29.610000,30.666667
0.38,29.520000,30.333333,31.666667
0.39,30.000000,30.926667,32.596667
0.40,30.333333,31.333333,33.400000
0.41,30.980000,32.333333,34.000000
0.42,31.666667,33.000000,34.913333
0.43,32.666667,33.953333,35.660000
0.44,33.280000,34.613333,36.840000
0.45,33.616667,35.300000,37.333333
0.46,34.880000,36.000000,38.626667
0.47,36.333333,36.576667,40.000000
0.48,37.573333,37.666667,41.000000
0.49,38.923333,38.333333,42.203333
0.50,39.666667,39.333333,43.666667
0.51,41.006667,40.833333,46.130000
0.52,41.933333,41.666667,48.613333
0.53,42.776667,43.686667,49.916667
0.54,44.160000,44.666667,51.813333
0.55,45.700000,45.666667,53.666667
0.56,46.906667,46.960000,55.053333
0.57,48.280000,47.666667,58.430000
0.58,51.446667,49.000000,60.586667
0.59,53.026667,50.223333,64.093333
0.60,55.200000,53.000000,65.333333
0.61,56.736667,54.166667,67.273333
0.62,59.293333,55.586667,72.020000
0.63,62.326667,57.586667,75.726667
0.64,66.000000,59.760000,77.680000
0.65,69.400000,62.483333,79.300000
0.66,72.000000,65.280000,82.406667
0.67,76.026667,69.466667,88.560000
0.68,78.773333,72.613333,93.493333
0.69,82.820000,75.070000,97.453333
0.70,89.000000,78.433333,102.866667
0.71,95.443333,80.516667,108.486667
0.72,101.173333,84.773333,112.946667
0.73,105.563333,93.320000,119.393333
0.74,111.666667,97.986667,127.000000
0.75,120.500000,106.083333,136.500000
0.76,129.160000,113.520000,145.626667
0.77,136.426667,126.093333,153.940000
0.78,150.113333,136.640000,163.113333
0.79,179.346667,143.730000,172.626667
0.80,190.466667,153.200000,181.400000
0.81,204.443333,166.880000,194.916667
0.82,223.480000,185.786667,219.606667
0.83,240.546667,199.110000,251.763333
0.84,265.880000,216.920000,277.826667
0.85,280.533333,250.683333,329.950000
0.86,323.640000,277.806667,364.526667
0.87,347.543333,319.160000,405.803333
0.88,388.893333,350.480000,453.293333
0.89,433.083333,400.520000,477.773333
0.90,469.200000,434.933333,526.566667
0.91,487.136667,452.026667,581.530000
0.92,527.480000,466.426667,645.133333
0.93,539.086667,544.676667,723.453333
0.94,660.460000,691.013333,876.240000
0.95,816.066667,860.833333,958.150000
0.96,1110.133333,1133.120000,1226.360000
0.97,1282.463333,1365.320000,1705.533333
0.98,1866.840000,1946.240000,2345.220000
0.99,3084.223333,3386.700000,3515.906667
