cdf,normal_avg_len_blocks,delay_avg_len_blocks,redisc_avg_len_blocks
0.01,48.666667,81.333333,68.000000
0.02,49.333333,83.333333,69.000000
0.03,50.000000,85.536667,70.000000
0.04,50.666667,88.000000,72.000000
0.05,51.850000,89.450000,73.000000
0.06,53.000000,91.333333,74.000000
0.07,54.000000,92.696667,75.570000
0.08,54.746667,95.640000,77.000000
0.09,55.666667,97.886667,78.590000
0.10,56.700000,99.466667,80.100000
0.11,57.666667,102.666667,82.000000
0.12,58.440000,106.000000,84.000000
0.13,59.810000,109.333333,85.630000
0.14,61.000000,113.000000,88.000000
0.15,62.333333,115.700000,90.000000
0.16,64.000000,120.226667,92.000000
0.17,65.333333,128.596667,93.000000
0.18,66.333333,133.333333,94.000000
0.19,68.333333,139.736667,95.690000
0.20,69.666667,144.600000,98.200000
0.21,71.303333,153.693333,100.000000
0.22,72.333333,176.806667,101.000000
0.23,73.843333,194.583333,104.000000
0.24,75.546667,208.000000,109.000000
0.25,77.333333,209.333333,111.000000
0.26,79.666667,210.333333,112.260000
0.27,81.000000,211.333333,116.000000
0.28,83.000000,212.840000,119.000000
0.29,85.793333,214.000000,124.790000
0.30,88.433333,215.333333,128.000000
0.31,90.803333,216.763333,131.000000
0.32,92.333333,218.613333,135.000000
0.33,95.143333,219.666667,137.000000
0.34,98.046667,221.526667,141.000000
0.35,100.283333,223.100000,144.000000
0.36,104.520000,225.000000,152.000000
0.37,109.000000,227.340000,157.740000
0.38,113.333333,228.333333,168.380000
0.39,118.090000,230.336667,175.000000
0.40,123.400000,233.000000,185.400000
0.41,130.170000,235.100000,192.000000
0.42,137.333333,237.926667,207.420000
0.43,144.330000,241.123333,222.000000
0.44,150.306667,243.653333,232.880000
0.45,161.633333,247.516667,242.900000
0.46,171.353333,251.386667,277.140000
0.47,181.170000,257.306667,306.970000
0.48,197.666667,262.026667,347.960000
0.49,218.156667,269.273333,428.640000
0.50,245.666667,277.166667,493.500000
0.51,278.543333,287.120000,513.000000
0.52,317.120000,296.200000,513.000000
0.53,340.630000,309.756667,514.000000
0.54,357.666667,325.233333,515.000000
0.55,359.300000,359.983333,516.000000
0.56,360.000000,381.333333,517.000000
0.57,361.666667,383.530000,518.000000
0.58,363.333333,386.000000,519.000000
0.59,364.333333,388.110000,522.000000
0.60,366.666667,391.000000,522.600000
0.61,368.333333,394.666667,524.000000
0.62,370.333333,398.320000,525.000000
0.63,373.000000,402.593333,527.000000
0.64,376.480000,406.920000,531.000000
0.65,379.716667,409.716667,533.000000
0.66,383.000000,414.620000,535.000000
0.67,386.333333,419.666667,538.000000
0.68,390.600000,426.720000,541.360000
0.69,394.723333,434.666667,548.000000
0.70,399.533333,442.000000,553.700000
0.71,405.740000,449.256667,559.210000
0.72,413.000000,458.546667,566.440000
0.73,420.666667,470.363333,570.230000
0.74,430.266667,482.146667,575.740000
0.75,440.666667,495.250000,588.500000
0.76,450.786667,509.666667,597.760000
0.77,460.490000,526.786667,607.810000
0.78,478.600000,542.466667,637.780000
0.79,495.770000,560.423333,653.290000
0.80,514.066667,590.666667,666.800000
0.81,540.340000,658.563333,687.310000
0.82,582.560000,697.266667,697.000000
0.83,659.086667,718.726667,719.660000
0.84,671.693333,736.546667,733.000000
0.85,697.000000,759.383333,751.400000
0.86,718.826667,788.206667,805.300000
0.87,755.013333,825.226667,847.220000
0.88,792.053333,868.346667,877.520000
0.89,823.986667,915.906667,948.290000
0.90,881.733333,1014.466667,1007.400000
0.91,974.600000,1116.666667,1080.150000
0.92,1071.853333,1213.586667,1216.440000
0.93,1291.260000,1293.613333,1714.450000
0.94,1474.133333,1472.393333,2046.220000
0.95,1751.233333,1821.516667,2400.700000
0.96,2107.400000,2173.986667,3176.320000
0.97,2680.276667,2900.260000,3845.040000
0.98,3929.773333,4762.413333,6256.800000
0.99,8368.686667,14016.190000,13284.220000
