cdf,normal_avg_len_blocks,delay_avg_len_blocks,redisc_avg_len_blocks
0.01,16.000000,16.000000,17.046667
0.02,16.333333,16.000000,18.540000
0.03,16.630000,16.000000,20.886667
0.04,16.666667,16.120000,22.000000
0.05,17.000000,16.366667,23.516667
0.06,17.000000,17.000000,25.273333
0.07,17.000000,17.000000,26.253333
0.08,17.346667,17.000000,27.693333
0.09,17.666667,17.333333,28.820000
0.10,18.333333,17.666667,29.466667
0.11,18.666667,17.666667,31.446667
0.12,19.000000,18.280000,32.560000
0.13,19.066667,18.556667,33.473333
0.14,19.666667,19.000000,34.126667
0.15,19.666667,19.333333,35.366667
0.16,19.706667,19.333333,36.720000
0.17,20.666667,19.906667,37.163333
0.18,21.113333,20.540000,39.013333
0.19,21.333333,20.666667,40.486667
0.20,21.666667,20.800000,41.800000
0.21,22.333333,21.463333,43.236667
0.22,22.393333,21.666667,44.480000
0.23,22.896667,22.333333,45.406667
0.24,23.533333,22.666667,46.813333
0.25,23.666667,23.333333,48.166667
0.26,23.800000,23.333333,49.493333
0.27,24.543333,23.666667,51.653333
0.28,24.666667,24.320000,53.306667
0.29,25.000000,24.333333,54.350000
0.30,25.333333,24.700000,55.433333
0.31,25.666667,25.430000,56.693333
0.32,26.266667,25.666667,58.146667
0.33,26.853333,26.153333,60.003333
0.34,27.333333,27.000000,60.993333
0.35,28.050000,27.550000,61.950000
0.36,28.333333,27.666667,62.640000
0.37,29.666667,28.610000,64.846667
0.38,30.313333,30.000000,67.286667
0.39,30.970000,30.666667,69.040000
0.40,31.000000,31.000000,70.933333
0.41,31.800000,31.730000,72.636667
0.42,32.666667,32.260000,76.486667
0.43,34.066667,33.170000,80.286667
0.44,34.533333,33.360000,83.173333
0.45,35.350000,34.000000,86.083333
0.46,35.666667,35.000000,88.820000
0.47,35.870000,35.000000,89.993333
0.48,36.333333,36.120000,95.586667
0.49,36.956667,36.793333,98.886667
0.50,38.500000,37.500000,100.833333
0.51,38.863333,39.046667,104.470000
0.52,39.666667,40.960000,106.333333
0.53,40.863333,42.070000,109.303333
0.54,42.093333,43.086667,115.560000
0.55,43.333333,43.666667,121.883333
0.56,46.333333,45.613333,127.960000
0.57,47.000000,46.276667,130.223333
0.58,47.586667,48.020000,135.026667
0.59,49.436667,49.193333,140.080000
0.60,51.533333,51.200000,143.466667
0.61,53.203333,52.333333,149.803333
0.62,55.880000,54.120000,154.686667
0.63,58.733333,56.360000,166.050000
0.64,60.800000,57.666667,176.480000
0.65,62.300000,60.966667,188.866667
0.66,64.706667,63.520000,203.006667
0.67,66.966667,65.533333,211.266667
0.68,71.533333,68.626667,242.480000
0.69,75.673333,69.996667,267.660000
0.70,82.466667,74.366667,281.400000
0.71,85.906667,77.743333,301.753333
0.72,91.080000,81.373333,318.546667
0.73,98.113333,84.320000,338.710000
0.74,104.466667,88.560000,366.980000
0.75,112.166667,93.000000,375.833333
0.76,120.453333,99.306667,420.573333
0.77,126.746667,104.260000,426.540000
0.78,137.406667,111.480000,430.733333
0.79,148.013333,116.666667,437.206667
0.80,155.400000,123.333333,443.133333
0.81,169.106667,137.476667,476.860000
0.82,191.173333,150.506667,508.233333
0.83,199.790000,166.680000,534.743333
0.84,224.213333,180.480000,568.773333
0.85,244.616667,222.716667,590.583333
0.86,278.393333,268.246667,642.553333
0.87,317.776667,336.623333,738.573333
0.88,407.960000,406.666667,800.680000
0.89,487.406667,457.553333,936.150000
0.90,518.000000,554.000000,1040.366667
0.91,538.966667,643.946667,1113.930000
0.92,575.280000,729.306667,1212.480000
0.93,668.470000,832.986667,1492.840000
0.94,879.986667,927.520000,1871.513333
0.95,1047.233333,1161.150000,2143.900000
0.96,1228.973333,1434.853333,2928.280000
0.97,1518.686667,1702.636667,3902.823333
0.98,2135.320000,2610.633333,5561.380000
0.99,3718.246667,5154.613333,16886.150000
