ts,swod_hold_cnt,swod_success_release_cnt,swod_timeout_release_cnt,swod_pressure_release_cnt,swod_held_groups,swod_skip_cnt,back,mem_available_kb,min_mem_available_kb
2026-04-08 07:32:58,0,0,0,0,0,0,,192146396,192146396
2026-04-08 07:32:59,0,0,0,0,0,0,,192145120,192145120
2026-04-08 07:33:00,0,0,0,0,0,0,,192146388,192145120
2026-04-08 07:33:01,0,0,0,0,0,0,,192147660,192145120
2026-04-08 07:33:02,0,0,0,0,0,0,,192147556,192145120
2026-04-08 07:33:03,0,0,0,0,0,0,4934524,192147448,192145120
2026-04-08 07:33:04,0,0,0,0,0,0,4839993,192145464,192145120
2026-04-08 07:33:05,0,0,0,0,0,0,4746801,192146768,192145120
2026-04-08 07:33:06,0,0,0,0,0,0,4669409,192146080,192145120
2026-04-08 07:33:07,0,0,0,0,0,0,4600883,192145900,192145120
2026-04-08 07:33:09,0,0,0,0,0,0,4539268,192148488,192145120
2026-04-08 07:33:10,0,0,0,0,0,0,4477095,192150300,192145120
2026-04-08 07:33:11,0,0,0,0,0,0,4417809,192150168,192145120
2026-04-08 07:33:12,0,0,0,0,0,0,4357853,192148852,192145120
2026-04-08 07:33:13,0,0,0,0,0,0,4303084,192149860,192145120
2026-04-08 07:33:14,0,0,0,0,0,0,4250394,192150352,192145120
2026-04-08 07:33:15,0,0,0,0,0,0,4199584,192148916,192145120
2026-04-08 07:33:16,0,0,0,0,0,0,4150423,192150480,192145120
2026-04-08 07:33:17,0,0,0,0,0,0,4102791,192148944,192145120
2026-04-08 07:33:18,0,0,0,0,0,0,4056511,192148988,192145120
2026-04-08 07:33:19,0,0,0,0,0,0,4011408,192150404,192145120
2026-04-08 07:33:20,0,0,0,0,0,0,3965045,192152444,192145120
2026-04-08 07:33:21,0,0,0,0,0,0,3922112,192151072,192145120
2026-04-08 07:33:23,0,0,0,0,0,0,3880132,192151972,192145120
2026-04-08 07:33:24,0,0,0,0,0,0,20012179,192150688,192145120
2026-04-08 07:33:25,0,0,0,0,0,0,19282110,192150908,192145120
2026-04-08 07:33:26,0,0,0,0,0,0,19177742,192150816,192145120
2026-04-08 07:33:27,0,0,0,0,0,0,19072133,192150348,192145120
2026-04-08 07:33:28,0,0,0,0,0,0,18964268,192150068,192145120
2026-04-08 07:33:29,0,0,0,0,0,0,18851423,192150016,192145120
2026-04-08 07:33:30,0,0,0,0,0,0,18738361,192149868,192145120
2026-04-08 07:33:31,0,0,0,0,0,0,18622333,192149164,192145120
2026-04-08 07:33:32,0,0,0,0,0,0,18499655,192151920,192145120
2026-04-08 07:33:33,0,0,0,0,0,0,18372710,192150768,192145120
2026-04-08 07:33:34,0,0,0,0,0,0,18251362,192150804,192145120
2026-04-08 07:33:35,0,0,0,0,0,0,18124970,192151772,192145120
2026-04-08 07:33:37,0,0,0,0,0,0,17989698,192150380,192145120
