ts,swod_held_groups,swod_skip_cnt,swod_hold_cnt,swod_success_release_cnt
2026-04-06 03:47:00,0,0,0,0
2026-04-06 03:47:01,0,0,0,0
2026-04-06 03:47:02,0,0,0,0
2026-04-06 03:47:03,0,0,0,0
2026-04-06 03:47:04,0,0,0,0
2026-04-06 03:47:05,64,0,150,0
2026-04-06 03:47:06,64,0,194,0
2026-04-06 03:47:07,64,0,211,0
2026-04-06 03:47:08,2,0,225,0
2026-04-06 03:47:09,0,0,225,0
2026-04-06 03:47:10,0,0,225,0
2026-04-06 03:47:11,0,0,225,0
2026-04-06 03:47:12,0,0,225,0
2026-04-06 03:47:13,0,0,225,0
2026-04-06 03:47:14,0,0,225,0
2026-04-06 03:47:15,0,0,225,0
2026-04-06 03:47:16,0,0,225,0
2026-04-06 03:47:18,0,0,225,0
2026-04-06 03:47:19,0,0,225,0
2026-04-06 03:47:20,0,0,225,0
2026-04-06 03:47:21,0,0,225,0
2026-04-06 03:47:22,0,0,225,0
2026-04-06 03:47:23,0,0,225,0
2026-04-06 03:47:24,0,0,225,0
2026-04-06 03:47:25,0,0,225,0
2026-04-06 03:47:26,0,0,225,0
2026-04-06 03:47:27,0,0,225,0
2026-04-06 03:47:28,0,0,225,0
2026-04-06 03:47:29,0,0,225,0
2026-04-06 03:47:30,0,0,225,0
2026-04-06 03:47:31,0,0,225,0
2026-04-06 03:47:32,0,0,225,0
2026-04-06 03:47:33,0,0,225,0
2026-04-06 03:47:34,0,0,225,0
2026-04-06 03:47:35,0,0,225,0
2026-04-06 03:47:36,0,0,225,0
2026-04-06 03:47:37,0,0,225,0
2026-04-06 03:47:38,0,0,225,0
2026-04-06 03:47:39,12,6,362,156
2026-04-06 03:47:40,9,8,2648,2384
2026-04-06 03:47:41,8,10,3651,3371
2026-04-06 03:47:42,1,21,7627,7347
2026-04-06 03:47:43,1,21,9850,9565
2026-04-06 03:47:44,2,21,11244,10961
2026-04-06 03:47:45,64,21,13120,12598
2026-04-06 03:47:46,64,21,13630,12598
2026-04-06 03:47:47,64,21,14151,12598
2026-04-06 03:47:48,64,21,14682,12598
2026-04-06 03:47:49,64,21,15249,12598
2026-04-06 03:47:50,64,21,15820,12598
2026-04-06 03:47:51,64,21,16482,12598
2026-04-06 03:47:52,64,21,17070,12598
2026-04-06 03:47:53,0,21,17114,12598
2026-04-06 03:47:54,0,21,17114,12598
2026-04-06 03:47:55,0,21,17114,12598
2026-04-06 03:47:56,0,21,17114,12598
2026-04-06 03:47:57,0,21,17114,12598
2026-04-06 03:47:58,64,23,20257,15341
2026-04-06 03:47:59,64,40,21143,15621
2026-04-06 03:48:00,64,59,21976,15816
2026-04-06 03:48:01,64,59,22912,16055
2026-04-06 03:48:02,64,59,24026,16423
2026-04-06 03:48:03,64,59,24528,16423
2026-04-06 03:48:04,64,59,24991,16423
2026-04-06 03:48:05,64,59,25477,16423
2026-04-06 03:48:06,64,59,25954,16423
2026-04-06 03:48:07,64,60,26555,16423
2026-04-06 03:48:08,64,152,27119,16423
2026-04-06 03:48:09,64,304,27670,16423
2026-04-06 03:48:10,64,452,28190,16423
2026-04-06 03:48:11,64,574,28683,16423
2026-04-06 03:48:12,0,620,28909,16423
2026-04-06 03:48:13,0,620,28909,16423
2026-04-06 03:48:14,0,620,28909,16423
2026-04-06 03:48:15,0,620,28909,16423
2026-04-06 03:48:16,0,620,28909,16423
2026-04-06 03:48:18,0,620,28909,16423
2026-04-06 03:48:19,0,620,28909,16423
2026-04-06 03:48:20,0,620,28909,16423
2026-04-06 03:48:21,0,620,28909,16423
2026-04-06 03:48:22,0,620,28909,16423
2026-04-06 03:48:23,0,620,28909,16423
