ts,swod_held_groups,swod_skip_cnt,swod_hold_cnt,swod_success_release_cnt
2026-04-06 04:52:26,0,0,0,0
2026-04-06 04:52:27,0,0,0,0
2026-04-06 04:52:28,0,0,0,0
2026-04-06 04:52:29,0,0,0,0
2026-04-06 04:52:30,0,0,0,0
2026-04-06 04:52:31,0,0,0,0
2026-04-06 04:52:32,0,0,0,0
2026-04-06 04:52:33,0,0,0,0
2026-04-06 04:52:35,0,0,0,0
2026-04-06 04:52:36,0,0,0,0
2026-04-06 04:52:37,0,0,0,0
2026-04-06 04:52:38,0,0,0,0
2026-04-06 04:52:39,0,0,0,0
2026-04-06 04:52:40,0,0,0,0
2026-04-06 04:52:41,0,0,0,0
2026-04-06 04:52:42,64,0,148,0
2026-04-06 04:52:43,64,0,180,0
2026-04-06 04:52:44,64,0,202,0
2026-04-06 04:52:45,64,0,220,0
2026-04-06 04:52:46,64,0,235,0
2026-04-06 04:52:47,64,0,254,0
2026-04-06 04:52:48,64,0,276,0
2026-04-06 04:52:49,64,0,296,0
2026-04-06 04:52:50,64,0,309,0
2026-04-06 04:52:51,64,0,325,0
2026-04-06 04:52:52,64,0,343,0
2026-04-06 04:52:53,64,0,349,0
2026-04-06 04:52:54,64,0,358,0
2026-04-06 04:52:55,64,0,363,0
2026-04-06 04:52:56,64,0,371,0
2026-04-06 04:52:57,64,0,380,0
2026-04-06 04:52:58,64,0,382,0
2026-04-06 04:52:59,64,0,382,0
2026-04-06 04:53:00,64,0,382,0
2026-04-06 04:53:01,64,0,382,0
2026-04-06 04:53:02,64,0,382,0
2026-04-06 04:53:03,64,0,382,0
2026-04-06 04:53:04,64,0,382,0
2026-04-06 04:53:05,21,0,403,0
2026-04-06 04:53:06,53,116,651,0
2026-04-06 04:53:07,64,248,907,0
2026-04-06 04:53:08,51,420,1143,0
2026-04-06 04:53:09,47,653,1381,0
2026-04-06 04:53:10,49,887,2142,538
2026-04-06 04:53:11,64,1018,6217,3743
2026-04-06 04:53:12,64,1083,8526,5105
2026-04-06 04:53:13,64,1208,10085,5821
2026-04-06 04:53:14,64,1278,10669,5821
2026-04-06 04:53:15,64,1316,11259,5821
2026-04-06 04:53:16,64,1357,11758,5821
2026-04-06 04:53:17,64,1400,12305,5821
2026-04-06 04:53:18,64,1441,12884,5821
2026-04-06 04:53:19,64,1463,13449,5821
2026-04-06 04:53:20,64,1527,13985,5821
2026-04-06 04:53:21,10,1770,14316,5821
2026-04-06 04:53:22,20,2022,14400,5821
2026-04-06 04:53:23,24,2305,14491,5821
2026-04-06 04:53:24,16,2590,14586,5821
2026-04-06 04:53:25,21,2892,14695,5821
2026-04-06 04:53:26,30,3186,14830,5821
2026-04-06 04:53:27,31,3480,14977,5821
2026-04-06 04:53:28,33,3752,15099,5821
2026-04-06 04:53:29,44,4057,15312,5821
2026-04-06 04:53:30,39,4377,15485,5821
2026-04-06 04:53:31,39,4674,15626,5821
2026-04-06 04:53:32,55,4833,15788,5821
2026-04-06 04:53:33,51,4912,16061,5821
2026-04-06 04:53:34,56,5055,16332,5821
2026-04-06 04:53:35,51,5240,16579,5821
