ts,swod_held_groups,swod_hold_cnt,swod_skip_check_cnt,swod_skip_cnt,swod_success_release_cnt,swod_timeout_release_cnt,swod_pressure_release_cnt,swod_gc_pick_bg_cnt,swod_gc_pick_fg_cnt,swod_gc_fallback_cnt,gc_background_calls,moved_blocks_background,moved_blocks_foreground,avg_vblocks,dirty_segments,free_segments,ovp_segments,gc_urgent,gc_idle
2026-04-08 04:54:10,11,123952,43063,6602,4889,45291,73731,237,0,0,244,2039,0,160,30981,1780657,3833,4,4
2026-04-08 04:54:12,6,123998,43217,6604,4889,45337,73739,240,0,0,247,2088,0,160,30981,1780657,3833,4,4
2026-04-08 04:54:13,9,124041,43392,6619,4889,45369,73748,242,0,0,249,2124,0,160,30981,1780657,3833,4,4
2026-04-08 04:54:14,11,124084,43545,6620,4889,45397,73755,244,0,0,251,2154,0,160,30981,1780657,3833,4,4
2026-04-08 04:54:15,5,124126,43722,6645,4889,45432,73771,246,0,0,253,2182,0,160,30981,1780657,3833,4,4
2026-04-08 04:54:16,10,124173,43875,6646,4889,45464,73780,248,0,0,255,2207,0,160,30981,1780657,3833,4,4
2026-04-08 04:54:17,10,124211,44029,6648,4889,45497,73783,250,0,0,257,2246,0,160,30981,1780657,3833,4,4
2026-04-08 04:54:18,4,124240,44199,6666,4889,45524,73794,252,0,0,259,2290,0,160,30981,1780657,3833,4,4
2026-04-08 04:54:19,3,124275,44371,6678,4889,45559,73794,254,0,0,262,2356,0,160,30951,1780656,3833,4,4
2026-04-08 04:54:20,4,124297,44523,6678,4889,45592,73794,257,0,0,264,2410,0,160,30951,1780656,3833,4,4
2026-04-08 04:54:21,3,124327,44697,6692,4889,45614,73794,259,0,0,266,2464,0,160,30951,1780656,3833,4,4
2026-04-08 04:54:22,3,124348,44884,6727,4889,45642,73794,261,0,0,268,2512,0,160,30951,1780656,3833,4,4
2026-04-08 04:54:24,4,124374,45050,6733,4889,45662,73794,263,0,0,270,2562,0,160,30951,1780656,3833,4,4
2026-04-08 04:54:25,5,124399,45218,6749,4889,45687,73794,265,0,0,272,2620,0,160,30951,1780656,3833,4,4
2026-04-08 04:54:26,6,124420,45378,6749,4889,45716,73794,267,0,0,274,2666,0,160,30951,1780656,3833,4,4
2026-04-08 04:54:27,6,124444,45531,6750,4889,45736,73794,269,0,0,276,2712,0,160,30951,1780656,3833,4,4
2026-04-08 04:54:28,5,124464,45703,6762,4889,45757,73794,272,0,0,279,2787,0,160,30951,1780656,3833,4,4
2026-04-08 04:54:29,3,124482,45866,6773,4889,45781,73794,274,0,0,281,2836,0,160,30931,1780655,3833,4,4
2026-04-08 04:54:30,2,124496,46037,6792,4889,45800,73794,276,0,0,283,2892,0,160,30931,1780655,3833,4,4
2026-04-08 04:54:31,5,124521,46197,6792,4889,45813,73794,278,0,0,285,2946,0,160,30931,1780655,3833,4,4
2026-04-08 04:54:32,4,124536,46375,6818,4889,45836,73794,280,0,0,287,3010,0,160,30931,1780655,3833,4,4
2026-04-08 04:54:33,5,124551,46535,6818,4889,45854,73794,282,0,0,289,3071,0,160,30931,1780655,3833,4,4
2026-04-08 04:54:34,6,124577,46692,6823,4889,45870,73794,284,0,0,291,3130,0,160,30931,1780655,3833,4,4
2026-04-08 04:54:36,2,124594,46862,6833,4889,45895,73794,286,0,0,293,3188,0,160,30931,1780655,3833,4,4
2026-04-08 04:54:37,2,124612,47016,6835,4889,45911,73794,289,0,0,296,3285,0,160,30931,1780655,3833,4,4
2026-04-08 04:54:38,2,124629,47178,6837,4889,45932,73794,291,0,0,298,3348,0,160,30931,1780655,3833,4,4
2026-04-08 04:54:39,3,124642,47353,6860,4889,45948,73794,293,0,0,300,3412,0,160,30931,1780655,3833,4,4
2026-04-08 04:54:40,3,124658,47518,6865,4889,45958,73794,295,0,0,302,3474,0,161,30911,1780654,3833,4,4
2026-04-08 04:54:41,4,124669,47670,6865,4889,45976,73794,297,0,0,304,3536,0,161,30911,1780654,3833,4,4
2026-04-08 04:54:42,3,124677,47830,6865,4889,45988,73794,299,0,0,306,3593,0,161,30911,1780654,3833,4,4
2026-04-08 04:54:43,4,124690,47982,6865,4889,45997,73794,301,0,0,308,3661,0,161,30911,1780654,3833,4,4
2026-04-08 04:54:44,2,124702,48152,6875,4889,46008,73794,303,0,0,310,3729,0,161,30911,1780654,3833,4,4
2026-04-08 04:54:45,3,124714,48305,6876,4889,46020,73794,306,0,0,313,3842,0,161,30911,1780654,3833,4,4
2026-04-08 04:54:46,2,124726,48465,6876,4889,46036,73794,308,0,0,315,3905,0,161,30911,1780654,3833,4,4
2026-04-08 04:54:48,0,124783,48629,6888,4933,46042,73794,310,0,0,317,3967,0,161,30910,1780765,3833,4,4
2026-04-08 04:54:49,0,124785,48800,6899,4933,46056,73794,312,0,0,319,4026,0,161,30910,1780765,3833,4,4
2026-04-08 04:54:50,0,124791,48962,6909,4933,46058,73794,314,0,0,321,4098,0,161,30910,1780765,3833,4,4
2026-04-08 04:54:51,1,124795,49132,6919,4933,46064,73794,316,0,0,323,4186,0,161,30910,1780765,3833,4,4
2026-04-08 04:54:52,0,124800,49284,6919,4933,46068,73794,318,0,0,325,4269,0,161,30910,1780765,3833,4,4
2026-04-08 04:54:53,1,124804,49444,6919,4933,46073,73794,321,0,0,328,4405,0,161,30910,1780765,3833,4,4
2026-04-08 04:54:54,3,124808,49596,6919,4933,46076,73794,322,0,1,330,4450,0,161,30910,1780765,3833,4,4
2026-04-08 04:54:55,0,124812,49756,6919,4933,46080,73794,324,0,1,332,4542,0,161,30882,1780763,3833,4,4
2026-04-08 04:54:56,1,124820,49908,6919,4933,46089,73794,326,0,1,334,4624,0,161,30882,1780763,3833,4,4
2026-04-08 04:54:57,1,124823,50068,6919,4933,46092,73794,328,0,1,336,4702,0,161,30882,1780763,3833,4,4
2026-04-08 04:54:58,2,124828,50221,6920,4933,46097,73794,330,0,1,338,4776,0,161,30882,1780763,3833,4,4
2026-04-08 04:54:59,2,124834,50382,6921,4933,46101,73794,332,0,1,340,4863,0,161,30882,1780763,3833,4,4
2026-04-08 04:55:01,0,124837,50536,6923,4933,46107,73794,333,0,2,342,4912,0,161,30882,1780763,3833,4,4
2026-04-08 04:55:02,1,124845,50688,6923,4933,46110,73794,335,0,3,345,4998,0,161,30882,1780763,3833,4,4
2026-04-08 04:55:03,1,124848,50848,6923,4933,46118,73794,337,0,3,347,5091,0,161,30882,1780763,3833,4,4
2026-04-08 04:55:04,3,124856,51000,6923,4933,46122,73794,339,0,3,349,5190,0,161,30882,1780763,3833,4,4
2026-04-08 04:55:05,0,124859,51160,6923,4933,46129,73794,340,0,4,351,5241,0,161,30882,1780763,3833,4,4
2026-04-08 04:55:06,0,124865,51312,6923,4933,46134,73794,342,0,4,353,5322,0,161,30882,1780763,3833,4,4
2026-04-08 04:55:07,1,124867,51472,6923,4933,46139,73794,343,0,5,355,5364,0,161,30882,1780763,3833,4,4
2026-04-08 04:55:08,1,124870,51624,6923,4933,46140,73794,344,0,6,357,5415,0,161,30882,1780763,3833,4,4
2026-04-08 04:55:09,1,124872,51791,6930,4933,46143,73794,344,0,8,359,5417,0,161,30882,1780763,3833,4,4
2026-04-08 04:55:10,1,124874,51943,6930,4933,46145,73794,345,0,10,362,5468,0,161,30882,1780763,3833,4,4
2026-04-08 04:55:11,0,124874,52103,6930,4933,46147,73794,345,0,12,364,5470,0,161,30882,1780763,3833,4,4
2026-04-08 04:55:13,0,124876,52255,6930,4933,46148,73794,345,0,14,366,5472,0,161,30882,1780763,3833,4,4
